timestamp,fire_rune,water_rune,air_rune,earth_rune,mind_rune,body_rune,death_rune,nature_rune,chaos_rune,law_rune,cosmic_rune,blood_rune,soul_rune
1715904000000,4,4,4,4,2,5,111,93,59,119,85,199,199
1715990400000,4,4,4,4,2,5,111,92,59,119,80,199,196
1716076800000,4,4,4,4,2,5,111,90,60,119,76,200,195
1716163200000,4,4,4,4,2,5,112,92,60,119,72,201,196
1716249600000,4,4,4,4,2,4,114,92,60,119,71,203,198
1716336000000,4,4,4,4,2,4,114,92,60,119,70,203,198
1716422400000,4,4,4,4,2,4,113,92,61,119,71,203,200
1716508800000,4,4,4,4,2,4,113,93,62,119,72,206,200
1716595200000,4,4,4,4,2,4,114,94,62,119,76,210,203
1716681600000,4,4,4,4,2,5,114,94,62,119,80,211,203
1716768000000,4,4,4,4,2,5,114,93,62,120,84,212,201
1716854400000,4,4,4,4,2,5,115,95,61,123,87,214,200
1716940800000,4,4,4,4,2,5,115,95,61,122,87,212,197
1717027200000,4,4,4,4,2,5,116,96,62,122,89,210,197
1717113600000,4,4,4,4,2,5,116,98,59,122,92,208,195
1717200000000,4,4,4,4,2,5,116,101,61,122,95,208,192
1717286400000,4,4,4,4,2,5,119,100,63,123,96,210,193
1717372800000,4,4,4,4,2,5,121,101,66,122,96,207,187
1717459200000,4,4,4,4,2,5,118,103,69,122,96,206,186
1717545600000,4,4,4,4,2,4,118,105,70,122,100,204,184
1717632000000,4,4,4,4,2,5,120,105,70,122,103,203,182
1717718400000,4,4,4,4,2,5,120,104,71,122,104,201,176
1717804800000,4,4,4,4,2,5,121,105,72,122,104,201,174
1717891200000,4,4,4,4,2,5,121,105,74,122,103,202,171
1717977600000,4,4,4,4,2,5,121,104,76,122,101,205,173
1718064000000,4,4,4,4,2,5,120,105,76,119,102,203,173
1718150400000,4,4,4,4,2,5,121,105,77,118,102,202,174
1718236800000,4,4,4,4,2,5,122,106,77,119,103,202,177
1718323200000,4,4,4,4,2,5,123,105,78,119,103,202,176
1718409600000,4,4,4,4,2,5,124,106,80,119,103,202,176
1718496000000,4,4,4,4,2,5,124,103,81,118,98,202,174
1718582400000,4,4,4,4,2,5,124,100,84,118,93,202,172
1718668800000,4,4,4,4,2,5,124,103,86,118,88,201,177
1718755200000,4,4,4,4,2,5,126,106,87,118,85,202,181
1718841600000,4,4,4,4,2,5,130,107,87,118,87,203,185
1718928000000,4,4,4,4,2,5,135,107,89,118,84,203,194
1719014400000,4,4,4,4,2,5,141,107,92,118,83,203,194
1719100800000,4,4,4,4,2,5,141,106,94,118,80,203,193
1719187200000,4,4,4,4,2,5,140,105,95,118,78,203,192
1719273600000,4,4,4,4,2,5,139,106,95,119,76,203,190
1719360000000,4,4,4,4,2,6,141,107,95,119,75,202,186
1719446400000,4,4,4,4,2,6,146,106,96,119,76,203,184
1719532800000,4,4,4,4,2,6,148,106,97,119,77,203,181
1719619200000,4,4,5,4,2,6,149,106,100,119,78,202,177
1719705600000,4,4,5,4,2,6,150,105,102,119,78,202,175
1719792000000,4,4,5,4,2,6,152,107,105,119,80,203,175
1719878400000,4,4,5,4,2,6,152,106,108,119,82,203,173
1719964800000,5,5,5,4,2,6,149,105,110,119,86,203,170
1720051200000,5,5,5,4,2,6,148,106,110,120,90,203,174
1720137600000,5,5,5,4,2,6,148,106,111,121,92,204,172
1720224000000,5,5,5,4,2,6,152,106,108,122,92,205,175
1720310400000,5,5,5,4,2,6,153,106,102,122,91,206,175
1720396800000,5,5,5,4,2,6,154,104,96,123,91,205,174
1720483200000,5,4,5,4,2,6,154,105,95,126,91,208,174
1720569600000,5,4,5,4,2,6,158,104,99,127,91,209,173
1720656000000,5,4,5,4,2,6,157,105,103,126,90,208,169
1720742400000,5,4,5,4,2,7,156,105,107,126,90,208,169
1720828800000,5,4,5,4,2,7,160,105,110,125,91,211,172
1720915200000,5,4,5,4,2,6,167,106,113,124,94,215,178
1721001600000,5,4,5,4,2,5,174,107,112,127,97,221,185
1721088000000,5,4,5,4,2,4,176,108,112,133,96,225,185
1721174400000,5,4,5,4,2,5,180,111,113,139,97,233,190
1721260800000,5,4,5,4,2,5,187,112,111,145,101,234,192
1721347200000,5,4,5,4,2,5,196,115,109,152,106,243,195
1721433600000,5,4,5,4,2,5,195,117,107,155,110,235,193
1721520000000,5,5,5,4,2,5,197,117,106,155,113,225,192
1721606400000,5,5,5,4,2,5,194,119,106,155,116,219,195
1721692800000,5,5,5,4,2,5,184,119,107,150,121,218,194
1721779200000,5,5,4,4,2,4,181,121,107,150,119,219,193
1721865600000,5,4,4,4,2,3,188,122,107,153,118,225,196
1721952000000,5,4,4,4,2,3,193,124,106,157,115,224,196
1722038400000,4,4,4,4,2,2,194,126,106,155,110,225,195
1722124800000,4,4,4,4,2,3,201,130,107,148,109,226,198
1722211200000,4,4,4,4,2,4,204,132,107,147,114,227,205
1722297600000,4,4,4,4,2,4,201,133,106,151,119,225,208
1722384000000,4,4,4,4,2,5,198,138,105,157,120,223,204
1722470400000,4,4,4,4,2,5,192,138,102,150,118,222,198
1722556800000,4,4,4,4,2,5,193,140,103,152,116,221,205
1722643200000,4,4,4,4,2,5,198,141,105,157,118,224,210
1722729600000,4,4,4,4,2,4,199,144,105,164,114,228,214
